1	86
56	-9
63	-37
49	-8
10	-37
-62	-51
-68	-66
7	20
6	-95
30	-80
38	-51
31	-98
92	65
-48	45
65	-7
-80	6
45	-7
-64	-70
86	33
11	-21
-44	-12
-63	61
-96	55
-67	-58
4	-97
1	80
37	-85
-81	-9
52	9
-95	15
56	25
50	91
-89	24
-84	91
3	43
43	39
-23	-25
78	27
83	38
42	-57
-27	98
-39	90
94	-32
84	-50
-36	-38
-68	55
29	-36
-85	-61
97	-24
56	8
-20	1
14	47
-78	8
3	1
-9	7
-26	-36
100	-91
34	64
39	61
-58	-58
-70	-7
-54	-48
70	93
-15	-91
1	56
6	-39
41	24
-16	-60
12	49
-84	72
81	-84
46	91
69	-58
-49	1
-92	99
-35	-75
83	-26
-70	59
60	-11
92	-52
88	57
54	-74
58	-22
23	-52
91	-14
-18	99
-88	70
86	48
40	-49
65	95
12	20
-48	20
-24	43
71	3
-56	-42
-66	10
50	83
-15	-94
-3	-61
-9	57
